Average hand positions in 3D per letter
========================================

[A]
landmark,x,y,z
11,-0.018658,-0.380339,-0.108531
12,-0.021957,-0.396420,-0.126839
13,-0.009440,-0.184563,0.015182
14,-0.013660,-0.126001,-0.135145
15,-0.009205,-0.089621,-0.188223
16,-0.006066,-0.097258,-0.172278
17,-0.008971,-0.057001,0.016986
18,-0.010934,-0.013987,-0.130632
19,-0.007485,-0.000977,-0.169976
20,-0.004782,-0.021230,-0.163067

[I]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.002226,-0.241812,-0.236342
2,0.002000,-0.686824,-0.320287
3,-0.003094,-0.974641,-0.394874
4,-0.006326,-1.004399,-0.417031
5,0.006959,-1.121036,-0.055039
6,0.002718,-1.488177,-0.267702
7,0.001482,-1.168008,-0.373376
8,0.002911,-0.985225,-0.401406
9,0.003980,-1.126930,-0.019638
10,-0.000190,-1.486552,-0.294250
11,-0.001123,-1.113288,-0.397798
12,0.000011,-0.915607,-0.387395
13,0.000799,-1.097474,-0.030526
14,-0.002247,-1.462929,-0.269050
15,-0.003600,-1.181939,-0.304647
16,-0.002551,-0.973743,-0.244850
17,-0.001375,-1.047014,-0.062158
18,-0.001791,-1.442148,-0.156556
19,-0.003261,-1.675980,-0.186527
20,-0.003812,-1.901234,-0.177911

[J]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.007627,-0.370094,-0.202015
2,-0.003086,-0.810503,-0.319559
3,0.010202,-0.870630,-0.431044
4,0.021363,-0.631561,-0.499925
5,0.019267,-1.115217,-0.164619
6,0.030136,-1.363760,-0.382631
7,0.020227,-1.095134,-0.479852
8,0.014361,-0.932930,-0.518020
9,0.030155,-0.947451,-0.153382
10,0.041411,-1.183659,-0.408549
11,0.027917,-0.898864,-0.460023
12,0.020567,-0.780707,-0.436071
13,0.038270,-0.739847,-0.180657
14,0.049883,-0.945412,-0.407494
15,0.035858,-0.747630,-0.387900
16,0.025376,-0.632785,-0.309509
17,0.044440,-0.512607,-0.228622
18,0.060588,-0.717627,-0.376257
19,0.070458,-0.844650,-0.418947
20,0.079853,-1.006743,-0.417068

[K]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.003364,-0.106224,-0.175648
2,0.005100,-0.310182,-0.213172
3,0.004343,-0.497736,-0.219959
4,0.004132,-0.664333,-0.218162
5,0.007231,-0.418631,-0.137904
6,0.007758,-0.649165,-0.226781
7,0.007906,-0.806252,-0.283218
8,0.007725,-0.953654,-0.317462
9,0.002985,-0.423871,-0.085487
10,-0.000573,-0.639347,-0.198340
11,-0.003208,-0.798375,-0.269872
